date,origin,destination,via,drug_type,volume_kg
2024-01-01,Myanmar Border,Mizoram,Champhai crossing,ATS,7.24
2024-02-01,Myanmar Border,Mizoram,Champhai crossing,ATS,7.32
2024-03-01,Myanmar Border,Mizoram,Champhai crossing,ATS,7.91
2024-04-01,Myanmar Border,Mizoram,Champhai crossing,ATS,8.86
2024-05-01,Myanmar Border,Mizoram,Champhai crossing,ATS,8.63
2024-06-01,Myanmar Border,Mizoram,Champhai crossing,ATS,9.18
2024-07-01,Myanmar Border,Mizoram,Champhai crossing,ATS,9.73
2024-08-01,Myanmar Border,Mizoram,Champhai crossing,ATS,8.52
2024-09-01,Myanmar Border,Mizoram,Champhai crossing,ATS,10.09
2024-10-01,Myanmar Border,Mizoram,Champhai crossing,ATS,11.24
2024-11-01,Myanmar Border,Mizoram,Champhai crossing,ATS,11.17
2024-12-01,Myanmar Border,Mizoram,Champhai crossing,ATS,11.54
2025-01-01,Myanmar Border,Mizoram,Champhai crossing,ATS,12.6
2025-02-01,Myanmar Border,Mizoram,Champhai crossing,ATS,12.89
2025-03-01,Myanmar Border,Mizoram,Champhai crossing,ATS,13.19
2025-04-01,Myanmar Border,Mizoram,Champhai crossing,ATS,12.29
2025-05-01,Myanmar Border,Mizoram,Champhai crossing,ATS,13.4
2025-06-01,Myanmar Border,Mizoram,Champhai crossing,ATS,14.07
2025-07-01,Myanmar Border,Mizoram,Champhai crossing,ATS,14.89
2025-08-01,Myanmar Border,Mizoram,Champhai crossing,ATS,13.92
2025-09-01,Myanmar Border,Mizoram,Champhai crossing,ATS,16.12
2025-10-01,Myanmar Border,Mizoram,Champhai crossing,ATS,16.82
2025-11-01,Myanmar Border,Mizoram,Champhai crossing,ATS,16.99
2025-12-01,Myanmar Border,Mizoram,Champhai crossing,ATS,19.56
2024-01-01,Mizoram,Assam,NH-6 corridor,ATS,4.36
2024-02-01,Mizoram,Assam,NH-6 corridor,ATS,3.45
2024-03-01,Mizoram,Assam,NH-6 corridor,ATS,3.49
2024-04-01,Mizoram,Assam,NH-6 corridor,ATS,1.83
2024-05-01,Mizoram,Assam,NH-6 corridor,ATS,3.17
2024-06-01,Mizoram,Assam,NH-6 corridor,ATS,3.2
2024-07-01,Mizoram,Assam,NH-6 corridor,ATS,2.93
2024-08-01,Mizoram,Assam,NH-6 corridor,ATS,4.3
2024-09-01,Mizoram,Assam,NH-6 corridor,ATS,3.21
2024-10-01,Mizoram,Assam,NH-6 corridor,ATS,4.09
2024-11-01,Mizoram,Assam,NH-6 corridor,ATS,2.63
2024-12-01,Mizoram,Assam,NH-6 corridor,ATS,2.44
2025-01-01,Mizoram,Assam,NH-6 corridor,ATS,1.75
2025-02-01,Mizoram,Assam,NH-6 corridor,ATS,3.47
2025-03-01,Mizoram,Assam,NH-6 corridor,ATS,5.46
2025-04-01,Mizoram,Assam,NH-6 corridor,ATS,5.56
2025-05-01,Mizoram,Assam,NH-6 corridor,ATS,6.72
2025-06-01,Mizoram,Assam,NH-6 corridor,ATS,6.96
2025-07-01,Mizoram,Assam,NH-6 corridor,ATS,7.87
2025-08-01,Mizoram,Assam,NH-6 corridor,ATS,7.59
2025-09-01,Mizoram,Assam,NH-6 corridor,ATS,6.45
2025-10-01,Mizoram,Assam,NH-6 corridor,ATS,5.23
2025-11-01,Mizoram,Assam,NH-6 corridor,ATS,5.98
2025-12-01,Mizoram,Assam,NH-6 corridor,ATS,8.4
2024-01-01,Assam,Delhi,Rail/road network,ATS,3.57
2024-02-01,Assam,Delhi,Rail/road network,ATS,3.5
2024-03-01,Assam,Delhi,Rail/road network,ATS,5.38
2024-04-01,Assam,Delhi,Rail/road network,ATS,5.92
2024-05-01,Assam,Delhi,Rail/road network,ATS,6.35
2024-06-01,Assam,Delhi,Rail/road network,ATS,6.9
2024-07-01,Assam,Delhi,Rail/road network,ATS,7.14
2024-08-01,Assam,Delhi,Rail/road network,ATS,7.25
2024-09-01,Assam,Delhi,Rail/road network,ATS,6.45
2024-10-01,Assam,Delhi,Rail/road network,ATS,7.2
2024-11-01,Assam,Delhi,Rail/road network,ATS,7.47
2024-12-01,Assam,Delhi,Rail/road network,ATS,8.78
2025-01-01,Assam,Delhi,Rail/road network,ATS,8.83
2025-02-01,Assam,Delhi,Rail/road network,ATS,7.66
2025-03-01,Assam,Delhi,Rail/road network,ATS,7.93
2025-04-01,Assam,Delhi,Rail/road network,ATS,9.64
2025-05-01,Assam,Delhi,Rail/road network,ATS,9.68
2025-06-01,Assam,Delhi,Rail/road network,ATS,9.32
2025-07-01,Assam,Delhi,Rail/road network,ATS,8.71
2025-08-01,Assam,Delhi,Rail/road network,ATS,8.22
2025-09-01,Assam,Delhi,Rail/road network,ATS,8.33
2025-10-01,Assam,Delhi,Rail/road network,ATS,7.74
2025-11-01,Assam,Delhi,Rail/road network,ATS,9.29
2025-12-01,Assam,Delhi,Rail/road network,ATS,9.41
2024-01-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,20.52
2024-02-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,24.37
2024-03-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,28.38
2024-04-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,28.09
2024-05-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,29.17
2024-06-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,31.26
2024-07-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,31.03
2024-08-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,26.83
2024-09-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,28.72
2024-10-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,31.21
2024-11-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,32.5
2024-12-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,30.44
2025-01-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,30.2
2025-02-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,28.97
2025-03-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,28.47
2025-04-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,31.96
2025-05-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,36.04
2025-06-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,37.96
2025-07-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,39.58
2025-08-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,41.52
2025-09-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,41.74
2025-10-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,41.8
2025-11-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,40.37
2025-12-01,Afghanistan,Punjab,Pakistan border (Golden Crescent),Heroin,40.48
2024-01-01,Punjab,Rajasthan,Inland trafficking network,Heroin,19.17
2024-02-01,Punjab,Rajasthan,Inland trafficking network,Heroin,20.83
2024-03-01,Punjab,Rajasthan,Inland trafficking network,Heroin,20.32
2024-04-01,Punjab,Rajasthan,Inland trafficking network,Heroin,19.57
2024-05-01,Punjab,Rajasthan,Inland trafficking network,Heroin,18.11
2024-06-01,Punjab,Rajasthan,Inland trafficking network,Heroin,18.88
2024-07-01,Punjab,Rajasthan,Inland trafficking network,Heroin,19.69
2024-08-01,Punjab,Rajasthan,Inland trafficking network,Heroin,17.19
2024-09-01,Punjab,Rajasthan,Inland trafficking network,Heroin,18.17
2024-10-01,Punjab,Rajasthan,Inland trafficking network,Heroin,17.24
2024-11-01,Punjab,Rajasthan,Inland trafficking network,Heroin,19.91
2024-12-01,Punjab,Rajasthan,Inland trafficking network,Heroin,20.29
2025-01-01,Punjab,Rajasthan,Inland trafficking network,Heroin,23.48
2025-02-01,Punjab,Rajasthan,Inland trafficking network,Heroin,22.76
2025-03-01,Punjab,Rajasthan,Inland trafficking network,Heroin,22.34
2025-04-01,Punjab,Rajasthan,Inland trafficking network,Heroin,22.98
