text,label
"he said the stash is fresh, grab it before once the coast is clear",1
"they said the stash is fresh, grab it before before midnight",1
"she said the stash is fresh, grab it before once the coast is clear",1
"they said the order is fresh, grab it before once the coast is clear",1
"they wants payment upfront for the moving boxes, it's a small business thing",0
"they said the package is fresh, grab it before once the coast is clear",1
"he said the stash is fresh, grab it before before midnight",1
"she wants payment upfront for the moving boxes, it's a small business thing",0
"they said the stash is fresh, grab it before at 9",1
"they said the stash is fresh, grab it before once the coast is clear",1
"he said the package is fresh, grab it before once the coast is clear",1
"he said the stash is fresh, grab it before at 9",1
