date,state,drug_type,seizure_kg
2024-01-01,Mizoram,ATS,7.5
2024-02-01,Mizoram,ATS,8.23
2024-03-01,Mizoram,ATS,9.91
2024-04-01,Mizoram,ATS,12.64
2024-05-01,Mizoram,ATS,13.25
2024-06-01,Mizoram,ATS,13.87
2024-07-01,Mizoram,ATS,16.67
2024-08-01,Mizoram,ATS,18.49
2024-09-01,Mizoram,ATS,18.83
2024-10-01,Mizoram,ATS,20.38
2024-11-01,Mizoram,ATS,20.72
2024-12-01,Mizoram,ATS,21.06
2025-01-01,Mizoram,ATS,22.25
2025-02-01,Mizoram,ATS,20.86
2025-03-01,Mizoram,ATS,19.69
2025-04-01,Mizoram,ATS,19.91
2025-05-01,Mizoram,ATS,19.6
2025-06-01,Mizoram,ATS,20.87
2025-07-01,Mizoram,ATS,20.68
2025-08-01,Mizoram,ATS,19.89
2025-09-01,Mizoram,ATS,22.55
2025-10-01,Mizoram,ATS,23.18
2025-11-01,Mizoram,ATS,24.16
2025-12-01,Mizoram,ATS,23.35
2024-01-01,Manipur,Heroin,9.62
2024-02-01,Manipur,Heroin,10.42
2024-03-01,Manipur,Heroin,8.95
2024-04-01,Manipur,Heroin,10.22
2024-05-01,Manipur,Heroin,9.74
2024-06-01,Manipur,Heroin,9.82
2024-07-01,Manipur,Heroin,9.33
2024-08-01,Manipur,Heroin,13.27
2024-09-01,Manipur,Heroin,13.84
2024-10-01,Manipur,Heroin,12.54
2024-11-01,Manipur,Heroin,14.62
2024-12-01,Manipur,Heroin,13.02
2025-01-01,Manipur,Heroin,14.0
2025-02-01,Manipur,Heroin,11.07
2025-03-01,Manipur,Heroin,9.28
2025-04-01,Manipur,Heroin,10.24
2025-05-01,Manipur,Heroin,12.17
2025-06-01,Manipur,Heroin,13.07
2025-07-01,Manipur,Heroin,13.47
2025-08-01,Manipur,Heroin,13.52
2025-09-01,Manipur,Heroin,11.46
2025-10-01,Manipur,Heroin,10.77
2025-11-01,Manipur,Heroin,10.54
2025-12-01,Manipur,Heroin,13.04
2024-01-01,Tripura,ATS,4.79
2024-02-01,Tripura,ATS,3.48
2024-03-01,Tripura,ATS,4.25
2024-04-01,Tripura,ATS,4.32
2024-05-01,Tripura,ATS,4.09
2024-06-01,Tripura,ATS,5.15
2024-07-01,Tripura,ATS,6.64
2024-08-01,Tripura,ATS,8.02
2024-09-01,Tripura,ATS,7.63
2024-10-01,Tripura,ATS,7.77
2024-11-01,Tripura,ATS,8.55
2024-12-01,Tripura,ATS,9.97
2025-01-01,Tripura,ATS,9.95
2025-02-01,Tripura,ATS,10.21
2025-03-01,Tripura,ATS,9.55
2025-04-01,Tripura,ATS,8.81
2025-05-01,Tripura,ATS,10.07
2025-06-01,Tripura,ATS,11.88
2025-07-01,Tripura,ATS,12.25
2025-08-01,Tripura,ATS,13.71
2025-09-01,Tripura,ATS,14.52
2025-10-01,Tripura,ATS,14.32
2025-11-01,Tripura,ATS,15.14
2025-12-01,Tripura,ATS,17.12
2024-01-01,Assam,Methamphetamine,5.5
2024-02-01,Assam,Methamphetamine,8.09
2024-03-01,Assam,Methamphetamine,5.23
2024-04-01,Assam,Methamphetamine,6.85
2024-05-01,Assam,Methamphetamine,7.51
2024-06-01,Assam,Methamphetamine,7.67
2024-07-01,Assam,Methamphetamine,8.34
2024-08-01,Assam,Methamphetamine,6.31
2024-09-01,Assam,Methamphetamine,6.57
2024-10-01,Assam,Methamphetamine,7.59
2024-11-01,Assam,Methamphetamine,10.06
2024-12-01,Assam,Methamphetamine,9.94
2025-01-01,Assam,Methamphetamine,9.44
2025-02-01,Assam,Methamphetamine,9.33
2025-03-01,Assam,Methamphetamine,11.07
2025-04-01,Assam,Methamphetamine,12.05
2025-05-01,Assam,Methamphetamine,11.91
2025-06-01,Assam,Methamphetamine,13.13
2025-07-01,Assam,Methamphetamine,13.81
2025-08-01,Assam,Methamphetamine,15.61
2025-09-01,Assam,Methamphetamine,15.25
2025-10-01,Assam,Methamphetamine,15.38
2025-11-01,Assam,Methamphetamine,15.42
2025-12-01,Assam,Methamphetamine,14.06
2024-01-01,Delhi,Methamphetamine,9.54
2024-02-01,Delhi,Methamphetamine,11.04
2024-03-01,Delhi,Methamphetamine,12.14
2024-04-01,Delhi,Methamphetamine,12.89
2024-05-01,Delhi,Methamphetamine,11.87
2024-06-01,Delhi,Methamphetamine,12.34
2024-07-01,Delhi,Methamphetamine,12.92
2024-08-01,Delhi,Methamphetamine,12.82
2024-09-01,Delhi,Methamphetamine,13.68
2024-10-01,Delhi,Methamphetamine,15.38
2024-11-01,Delhi,Methamphetamine,19.31
2024-12-01,Delhi,Methamphetamine,20.68
2025-01-01,Delhi,Methamphetamine,22.16
2025-02-01,Delhi,Methamphetamine,23.15
2025-03-01,Delhi,Methamphetamine,21.37
2025-04-01,Delhi,Methamphetamine,22.43
2025-05-01,Delhi,Methamphetamine,23.62
2025-06-01,Delhi,Methamphetamine,28.42
2025-07-01,Delhi,Methamphetamine,29.23
2025-08-01,Delhi,Methamphetamine,30.78
2025-09-01,Delhi,Methamphetamine,31.83
2025-10-01,Delhi,Methamphetamine,31.18
2025-11-01,Delhi,Methamphetamine,33.99
2025-12-01,Delhi,Methamphetamine,36.22
2024-01-01,Maharashtra,Cocaine,3.98
2024-02-01,Maharashtra,Cocaine,3.61
2024-03-01,Maharashtra,Cocaine,5.08
2024-04-01,Maharashtra,Cocaine,4.31
2024-05-01,Maharashtra,Cocaine,5.13
2024-06-01,Maharashtra,Cocaine,7.23
2024-07-01,Maharashtra,Cocaine,6.79
2024-08-01,Maharashtra,Cocaine,6.68
2024-09-01,Maharashtra,Cocaine,7.11
2024-10-01,Maharashtra,Cocaine,7.06
2024-11-01,Maharashtra,Cocaine,6.17
2024-12-01,Maharashtra,Cocaine,6.57
2025-01-01,Maharashtra,Cocaine,6.07
2025-02-01,Maharashtra,Cocaine,6.8
2025-03-01,Maharashtra,Cocaine,6.42
2025-04-01,Maharashtra,Cocaine,8.01
2025-05-01,Maharashtra,Cocaine,7.73
2025-06-01,Maharashtra,Cocaine,7.82
2025-07-01,Maharashtra,Cocaine,8.82
2025-08-01,Maharashtra,Cocaine,8.19
2025-09-01,Maharashtra,Cocaine,8.72
2025-10-01,Maharashtra,Cocaine,10.12
2025-11-01,Maharashtra,Cocaine,9.18
2025-12-01,Maharashtra,Cocaine,9.68
2024-01-01,Kerala,MDMA,4.79
2024-02-01,Kerala,MDMA,6.15
2024-03-01,Kerala,MDMA,5.29
2024-04-01,Kerala,MDMA,4.33
2024-05-01,Kerala,MDMA,5.41
2024-06-01,Kerala,MDMA,6.23
2024-07-01,Kerala,MDMA,7.01
2024-08-01,Kerala,MDMA,7.89
2024-09-01,Kerala,MDMA,7.64
2024-10-01,Kerala,MDMA,8.4
2024-11-01,Kerala,MDMA,9.22
2024-12-01,Kerala,MDMA,8.93
2025-01-01,Kerala,MDMA,11.49
2025-02-01,Kerala,MDMA,12.51
2025-03-01,Kerala,MDMA,11.7
2025-04-01,Kerala,MDMA,12.92
2025-05-01,Kerala,MDMA,12.35
2025-06-01,Kerala,MDMA,13.71
2025-07-01,Kerala,MDMA,15.49
2025-08-01,Kerala,MDMA,15.08
2025-09-01,Kerala,MDMA,16.64
2025-10-01,Kerala,MDMA,17.6
2025-11-01,Kerala,MDMA,19.0
2025-12-01,Kerala,MDMA,21.59
2024-01-01,Karnataka,MDMA,5.17
2024-02-01,Karnataka,MDMA,4.84
2024-03-01,Karnataka,MDMA,4.37
2024-04-01,Karnataka,MDMA,3.98
2024-05-01,Karnataka,MDMA,4.32
2024-06-01,Karnataka,MDMA,5.08
2024-07-01,Karnataka,MDMA,5.78
2024-08-01,Karnataka,MDMA,7.02
2024-09-01,Karnataka,MDMA,7.46
2024-10-01,Karnataka,MDMA,9.33
2024-11-01,Karnataka,MDMA,9.49
2024-12-01,Karnataka,MDMA,12.63
2025-01-01,Karnataka,MDMA,13.67
2025-02-01,Karnataka,MDMA,13.23
2025-03-01,Karnataka,MDMA,12.58
2025-04-01,Karnataka,MDMA,13.49
2025-05-01,Karnataka,MDMA,13.68
2025-06-01,Karnataka,MDMA,14.82
2025-07-01,Karnataka,MDMA,15.71
2025-08-01,Karnataka,MDMA,16.06
2025-09-01,Karnataka,MDMA,15.63
2025-10-01,Karnataka,MDMA,14.53
2025-11-01,Karnataka,MDMA,14.51
2025-12-01,Karnataka,MDMA,15.78
2024-01-01,Tamil Nadu,Cocaine,2.45
2024-02-01,Tamil Nadu,Cocaine,1.88
2024-03-01,Tamil Nadu,Cocaine,2.3
2024-04-01,Tamil Nadu,Cocaine,2.87
2024-05-01,Tamil Nadu,Cocaine,2.55
