text,label
"just knock twice, don't bring anyone, ice is inside",1
"keep this off the family chat, the paperwork is a surprise",0
she can hook you up quietly with ice,1
"they switched venues again, the tickets pickup is at 9",0
he wants payment upfront before releasing the order,1
"they switched spots again, a fresh drop pickup is at 9",1
she can hook you up quietly with the usual,1
she's been moving the flowers out of her apartment all week,0
"meet me at the usual spot, a batch will be ready",1
he only deals with people he trusts for the shipment,1
"he's got the goods ready for pickup tonight, keep it quiet",1
he'll have more of the package once this batch clears customs,1
"they switched spots again, a batch pickup is at 9",1
"they switched venues again, the groceries pickup is at 9",0
"bring cash, no questions asked, and don't be late",1
he only deals with people he trusts for the goods,1
he wants payment upfront before shipping the paperwork,0
she's holding a fresh drop till we sort the payment,1
she's holding ice till we sort the payment,1
they moved the meeting spot again for the groceries,0
she's holding the package till we sort the payment,1
they moved the meeting spot again for the flowers,0
he'll have more of the supplies once the delivery clears customs,0
"they switched spots again, the usual pickup is at 9",1
he only helps people he trusts with the groceries,0
"just knock twice, don't bring the dog, the books is inside",0
she's been moving the usual out of her place at night,1
he'll have more of a fresh drop once this batch clears customs,1
they moved the meeting spot again for the supplies,0
"he's holding onto it for me till Friday, the flowers arrives then",0
"keep this off the group chat, the package is coming in",1
she can hook you up quietly with a fresh drop,1
he'll have more of the usual once this batch clears customs,1
"keep this off the group chat, the goods is coming in",1
she can hook you up quietly with the shipment,1
"keep this off the family chat, the supplies is a surprise",0
she's holding the flowers till we split the cost fairly,0
"they switched venues again, the supplies pickup is at 9",0
they moved the meeting spot again for the decorations,0
"they switched venues again, the supplies pickup is at 9",0
"don't call, just text when you're near for the tickets",0
she can hook you up quietly with the order,1
they moved the drop point again for the order,1
"just knock twice, don't bring anyone, the product is inside",1
"meet me at the usual cafe, the paperwork will be ready",0
can you pick up the leftovers on your way home,0
"keep this off the group chat, a batch is coming in",1
"just knock twice, don't bring the dog, the tickets is inside",0
"he's got the order ready for pickup tonight, keep it quiet",1
she can help you out quietly with the supplies,0
"meet me at the usual spot, the shipment will be ready",1
she's been moving the supplies out of her apartment all week,0
"keep this off the family chat, the tickets is a surprise",0
"keep this off the group chat, the package is coming in",1
"don't call, just text when you're near for the tickets",0
he wants payment upfront before releasing the package,1
"meet me at the usual spot, the package will be ready",1
"bring cash, no questions asked, and don't be late",1
"meet me at the usual cafe, the equipment will be ready",0
"don't text, just show up after dark for a batch",1
they moved the drop point again for a fresh drop,1
he'll have more of a fresh drop once this batch clears customs,1
she can help you out quietly with the equipment,0
she's been moving the groceries out of her apartment all week,0
can you pick up the gift on your way home,0
"don't call, just text when you're near for the groceries",0
she can help you out quietly with the books,0
"don't text, just show up after dark for the shipment",1
"don't text, just show up after dark for the product",1
"keep this off the family chat, the leftovers is a surprise",0
she's holding the package till we sort the payment,1
"keep this off the group chat, the product is coming in",1
he only deals with people he trusts for the usual,1
"keep this off the family chat, the decorations is a surprise",0
bring cash for the school fundraiser tomorrow,0
"just knock twice, don't bring anyone, the stuff is inside",1
"meet me at the usual spot, a fresh drop will be ready",1
they moved the drop point again for the order,1
she's holding ice till we sort the payment,1
she can help you out quietly with the tickets,0
"they switched venues again, the groceries pickup is at 9",0
he wants payment upfront before releasing ice,1
"bring cash, no questions asked, and don't be late",1
she's been moving the stuff out of her place at night,1
she can hook you up quietly with ice,1
they moved the drop point again for a fresh drop,1
they moved the drop point again for the package,1
she's holding the stuff till we sort the payment,1
"bring cash, no questions asked, and don't be late",1
she's holding a fresh drop till we sort the payment,1
"bring cash, no questions asked, and don't be late",1
"he's holding for me till Friday, ice will be split then",1
she's been moving the stuff out of her place at night,1
she's holding the package till we sort the payment,1
"don't call, just text when you're near for the books",0
"they switched venues again, the books pickup is at 9",0
can you pick up the supplies on your way home,0
he wants payment upfront before releasing a batch,1
he wants payment upfront before releasing the product,1
she can hook you up quietly with the order,1
he only helps people he trusts with the supplies,0
"they switched venues again, the gift pickup is at 9",0
he'll have more of the books once the delivery clears customs,0
"he's got the stuff ready for pickup tonight, keep it quiet",1
"don't call, just text when you're near for the decorations",0
they moved the drop point again for the shipment,1
"bring cash, no questions asked, and don't be late",1
"bring cash, no questions asked, and don't be late",1
she can hook you up quietly with the goods,1
"meet me at the usual cafe, the supplies will be ready",0
she can help you out quietly with the groceries,0
bring cash for the school fundraiser tomorrow,0
he wants payment upfront before releasing the product,1
"he's got a batch ready for pickup tonight, keep it quiet",1
she's been moving the books out of her apartment all week,0
"meet me at the usual spot, a batch will be ready",1
"keep this off the family chat, the decorations is a surprise",0
she's holding the supplies till we split the cost fairly,0
she's holding a fresh drop till we sort the payment,1
bring cash for the school fundraiser tomorrow,0
"don't call, just text when you're near for the supplies",0
he'll have more of the stuff once this batch clears customs,1
"he's holding for me till Friday, the package will be split then",1
she's been moving the books out of her apartment all week,0
bring cash for the school fundraiser tomorrow,0
they moved the drop point again for the goods,1
he wants payment upfront before releasing the shipment,1
"he's holding onto it for me till Friday, the books arrives then",0
"keep this off the family chat, the supplies is a surprise",0
they moved the drop point again for the package,1
she's been moving the package out of her place at night,1
they moved the drop point again for the stuff,1
he wants payment upfront before shipping the equipment,0
she can help you out quietly with the leftovers,0
