case_id,date,text,location,district,lat,lon
400073,2026-08-13,"Possession for Sale, NDPS Act Section 20",Majestic,Bengaluru Central,12.97392954,77.57187943
400075,2026-08-13,"Possession of Cannabis, NDPS Act Section 20",ITO,Central Delhi,28.62652834,77.24225271
400111,2026-08-13,"Possession of Heroin, NDPS Act Section 21",Shivajinagar,Bengaluru Central,12.98760176,77.60630247
400164,2026-08-13,"Consumption of Narcotic Drug, NDPS Act Section 27",Mundra Port Belt,Kutch,22.84063137,69.72386845
400182,2026-08-13,"Cultivation of Cannabis, NDPS Act Section 20",Amritsar Border Belt,Amritsar Rural,31.63231403,74.87044079
400208,2026-08-13,"Possession of Cannabis, NDPS Act Section 20",Imphal Market,Imphal West,24.81702303,93.93947249
400022,2026-08-12,"Possession of Cannabis, NDPS Act Section 20",Imphal Market,Imphal West,24.81717469,93.93962647
400024,2026-08-12,"Possession of Cannabis, NDPS Act Section 20",Kurla,Mumbai East,19.071561,72.88054895
400046,2026-08-12,"Possession of Cannabis, NDPS Act Section 20",Mundra Port Belt,Kutch,22.83732878,69.72078025
400089,2026-08-12,"Illicit Transport of Contraband, NDPS Act Section 23",Surat Textile Belt,Surat,21.17312735,72.83167271
400097,2026-08-12,"Consumption of Narcotic Drug, NDPS Act Section 27",Amritsar Border Belt,Amritsar Rural,31.63279168,74.87163992
400119,2026-08-12,"Cultivation of Cannabis, NDPS Act Section 20",ITO,Central Delhi,28.62712895,77.23955011
400121,2026-08-12,"Illicit Transport of Contraband, NDPS Act Section 23",Aizawl Bazar,Aizawl,23.72703147,92.71914899
400258,2026-08-12,"Trafficking of Synthetic Drugs, NDPS Act Section 22",Tarn Taran,Tarn Taran,31.45286096,74.92497086
400285,2026-08-12,"Possession of Heroin, NDPS Act Section 21",Byculla,Mumbai Central,18.97406881,72.82719765
400012,2026-08-11,"Cultivation of Cannabis, NDPS Act Section 20",Karol Bagh,New Delhi,28.65112109,77.18915704
