state,latitude,longitude,capital
Mizoram,23.1645,92.9376,Aizawl
Manipur,24.6637,93.9063,Imphal
Tripura,23.9408,91.9882,Agartala
Assam,26.2006,92.9376,Dispur
Delhi,28.7041,77.1025,New Delhi
Maharashtra,19.7515,75.7139,Mumbai
Kerala,10.8505,76.2711,Thiruvananthapuram
Karnataka,15.3173,75.7139,Bengaluru
Tamil Nadu,11.1271,78.6569,Chennai
Rajasthan,27.0238,74.2179,Jaipur
Madhya Pradesh,22.9734,78.6569,Bhopal
Uttar Pradesh,26.8467,80.9462,Lucknow
Odisha,20.9517,85.0985,Bhubaneswar
Andhra Pradesh,15.9129,79.74,Amaravati
Himachal Pradesh,31.1048,77.1734,Shimla
Punjab,31.1471,75.3412,Chandigarh
Gujarat,22.2587,71.1924,Gandhinagar
Haryana,29.0588,76.0856,Chandigarh
Jammu and Kashmir,33.7782,76.5762,Srinagar
West Bengal,22.9868,87.855,Kolkata
